BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,PEOE_VSA10,PEOE_VSA11,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA5,PEOE_VSA9,SMR_VSA3,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,TPSA,EState_VSA11,VSA_EState2,NumAliphaticHeterocycles,NumAromaticHeterocycles,NumSaturatedHeterocycles,Value
16.528742,6.1035843,-0.15170187,17.248535,11.384295,0.0,5.9693055,4.794537,0.0,18.777216,0.0,14.210588,0.0,17.248535,82.06,0.0,24.19321,0.0,0.0,0.0,7.42
35.495693,7.9248414,-0.14372726,5.7495117,6.103966,10.023292,5.9693055,4.305216,0.0,10.58287,0.0,9.042079,5.6873865,5.7495117,83.91,0.0,11.375784,0.0,0.0,0.0,5.5
16.53911,5.9339275,-0.13271213,18.963276,11.499023,0.0,12.00042,4.9839787,0.0,24.241444,15.617556,24.844166,4.794537,17.248535,119.01,0.0,28.174921,1.0,1.0,0.0,6.03
19.160505,5.9906034,0.093842626,5.8172207,11.634441,5.90718,0.0,4.794537,0.0,6.041841,9.883888,5.3167887,13.171246,0.0,34.03,0.0,12.965987,0.0,1.0,0.0,7.77
79.91873,9.103013,0.06976355,0.0,0.0,5.90718,5.9693055,4.794537,0.0,16.14632,4.305216,5.3167887,5.6873865,0.0,103.78,0.0,24.26482,1.0,0.0,0.0,5.6
19.413185,5.987967,-0.13718729,0.0,0.0,5.90718,6.1762986,9.778516,0.0,17.802135,14.8678665,5.3167887,13.171246,0.0,46.92,0.0,16.831026,0.0,2.0,0.0,6.73
35.495693,6.301178,-0.1437851,11.396689,23.420212,0.0,5.9693055,0.0,0.0,11.0801525,9.551078,9.473726,4.390415,17.248535,73.58,0.0,15.577283,0.0,2.0,0.0,6.97
35.495693,7.897253,0.06976082,0.0,0.0,15.93047,5.9693055,4.794537,0.0,21.663021,3.972406,5.3167887,5.6873865,0.0,105.47,0.0,24.17805,0.0,1.0,0.0,5.7
16.365122,5.660143,-0.13665134,0.0,0.0,0.0,5.9693055,4.794537,0.0,0.0,0.0,0.0,0.0,0.0,37.3,0.0,10.134489,0.0,0.0,0.0,4.52
19.413193,5.9657893,-0.15176362,22.998047,5.601051,5.90718,12.145604,4.794537,0.0,18.2367,5.3167887,19.527378,13.171246,22.998047,94.09,0.0,23.904032,0.0,0.0,0.0,8.15
32.16673,8.1455965,-0.118575245,16.748962,5.783245,5.2392116,0.0,19.7004,0.0,13.213764,5.3167887,14.790515,4.794537,11.499023,81.7,0.0,36.132835,1.0,0.0,1.0,7.72
16.504385,6.0848594,-0.14786619,11.499023,11.887212,0.0,5.9693055,4.794537,0.0,13.213764,0.0,9.473726,0.0,11.499023,82.06,0.0,23.45674,0.0,0.0,0.0,8.3
19.413239,5.923425,-0.14067644,36.156227,0.0,0.0,12.145604,4.8999095,0.0,12.626498,15.200677,19.527378,13.171246,17.248535,93.15,0.0,17.859358,1.0,1.0,1.0,5.02
19.413235,5.8675056,-0.15181723,5.7495117,16.877998,0.0,12.145604,0.0,0.0,5.3862243,5.1566634,4.736863,13.171246,5.7495117,72.56,0.0,11.453373,0.0,1.0,0.0,5.8
16.551056,5.9924726,0.06967381,6.606882,0.0,5.90718,12.062546,4.794537,0.0,5.5634513,14.783798,5.3167887,4.794537,0.0,100.87,0.0,39.444016,1.0,1.0,1.0,7.46
32.16673,8.145592,-0.11857527,28.247986,0.0,5.2392116,0.0,14.905863,0.0,13.213764,5.3167887,19.527378,4.794537,22.998047,73.86,0.0,23.17206,1.0,0.0,1.0,6.32
16.479145,6.305939,-0.12341341,11.322617,0.0,11.81436,6.0311146,20.222652,0.0,33.537327,10.633577,20.27035,10.481923,5.7495117,106.2,0.0,37.48776,1.0,0.0,1.0,3.72
19.413189,6.0255494,-0.137228,11.499023,11.4434395,0.0,12.145604,0.0,0.0,11.0801525,4.5670996,4.736863,13.171246,17.248535,71.69,0.0,12.369742,0.0,1.0,0.0,6.5
19.422457,5.952952,-0.2742066,22.998047,5.601051,5.90718,12.331664,4.794537,13.171246,0.0,5.3167887,19.527378,13.171246,22.998047,94.09,0.0,23.877703,0.0,0.0,0.0,7.33
19.142147,5.922891,-0.13224673,30.530008,0.0,0.0,5.9693055,4.9839787,0.0,5.5167007,4.9839787,9.473726,4.390415,11.499023,68.65,0.0,16.072779,0.0,1.0,0.0,5.3
35.496838,7.9244533,0.44140366,10.644996,11.566732,10.023292,0.0,9.706074,0.0,22.423563,4.9839787,9.458958,10.077802,11.499023,68.29,0.0,4.0901146,0.0,1.0,0.0,7.4
19.142199,5.9927177,0.06970596,5.8172207,0.0,5.90718,5.9693055,4.794537,0.0,11.605292,9.883888,5.3167887,4.390415,0.0,71.33,0.0,24.73344,0.0,1.0,0.0,8.22
19.413237,5.720581,-0.14243089,17.203688,0.0,0.0,12.145604,4.794537,0.0,18.218716,14.951936,9.636773,19.119585,5.7495117,101.58,0.0,25.576767,1.0,2.0,1.0,5.82
35.495693,6.341409,-0.38445103,5.5167007,5.58302,11.594566,0.0,14.908855,0.0,15.509396,4.9839787,5.3167887,11.374773,0.0,98.27,0.0,27.426573,0.0,1.0,0.0,6.71
16.365665,5.992376,0.069704175,0.0,0.0,5.90718,5.9693055,4.794537,0.0,5.5634513,9.883888,5.3167887,0.0,0.0,71.33,0.0,24.22178,0.0,1.0,0.0,7.49
16.368862,5.7172832,-0.1407409,5.760247,6.041841,0.0,5.9693055,4.6818027,0.0,5.693928,14.764463,0.0,0.0,0.0,81.15,0.0,16.258972,0.0,2.0,0.0,6.84
32.233288,7.9232955,-0.14288887,17.329012,0.0,10.023292,12.352597,4.722095,11.336786,26.58692,9.780485,4.722095,36.55077,0.0,63.99,0.0,-0.64452237,0.0,2.0,0.0,7.64
16.479805,5.6865764,-0.13813913,23.866154,0.0,0.0,5.9693055,9.694447,0.0,18.845566,9.883888,9.473726,0.0,11.499023,85.03,0.0,18.169292,0.0,1.0,0.0,6.74
16.628754,5.6601763,-0.42794374,0.0,0.0,0.0,5.9693055,14.908855,0.0,4.923311,0.0,0.0,0.0,0.0,80.44,0.0,21.009089,0.0,0.0,0.0,6.08
16.50232,5.99049,-0.13881783,5.7495117,6.606882,5.90718,5.9693055,4.794537,0.0,6.041841,9.883888,10.053652,0.0,5.7495117,80.56,0.0,24.002127,0.0,1.0,0.0,7.25
16.547401,5.6781745,-0.13648039,18.116642,0.0,0.0,12.062546,4.794537,0.0,12.30081,10.300767,10.053652,4.794537,5.7495117,110.89,0.0,27.955742,0.0,1.0,0.0,7.04
16.550728,5.7429214,-0.14197044,11.509759,0.0,0.0,12.062546,4.794537,0.0,24.825598,9.883888,4.736863,4.794537,5.7495117,102.1,0.0,29.95498,1.0,1.0,1.0,5.37
